"CNPJ","NOME","PROJETO","DATA","VALOR (R$)"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2681 - V.BNB/FCPC/EMBRAPA-USO DA CASCA DE COCO VERDE PARA O CULTIVO DE ESPEC","15/04/2014","3.150,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2976 - CV - FOXCONN/UFC/FCPC - PLANO DE TRABALHO 07","03/04/2014","710,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","3010 - CV - SEFIN/FCPC-NORMAS BRASILEIRAS DE CONTABILIDADE","02/04/2014","212,50"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2964 - CT.UNILAB/FCPC - CURSO DE FORMAÃ‡ÃƒO CIDADÃƒ E AGROECOLOGICA","26/03/2014","4.153,70"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2955 - CV - LG/UFC/FCPC - PLANO DE TRABALHO 10","24/03/2014","1.050,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2869 - CV - STDS/FCPC - ARTICULACAO COM O MERCADO DE TRABA","17/02/2014","903,10"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2922 - CT.PETROBRAS - PROJETO AMBES","06/02/2014","690,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2922 - CT.PETROBRAS - PROJETO AMBES","06/02/2014","131,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2992 - CV - SMART/UFC/FCPC - 3Âº TERMO ADITIVO","06/02/2014","260,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2991 - CV - UFC/FCPC/SICONV -REALIZACAO DA CONFERENCIA DA","29/01/2014","369,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2991 - CV - UFC/FCPC/SICONV -REALIZACAO DA CONFERENCIA DA","29/01/2014","2.021,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2945 - CARTA ACORDO OPAS/FCPC FAIMER 2014","23/01/2014","292,00"
"***.00.064/****-61","MS LOPES DA SILVA","3020 - CT.UFC/FCPC-CAPACITAÃ‡ÃƒO EM ATENÃ‡ÃƒO A SAÃšDE DA CRIANÃ‡A","20/08/2014","7.980,00"
"***.00.064/****-61","MS LOPES DA SILVA","3043 - CARTA/FCPC-II ENCONTRO DA LINHA DE PESQUISA EDUCACAO CURRICULO ...","08/05/2014","2.000,00"
"***.00.133/****-26","TIME FORM - SILVESTRE INDUSTRI","1017 - CT. UFC/FCPC - PROJETO DE ORIENTAÇÃO FARMACEUTICA AOS USUARIOS DA FARMÁCIA UNIVERSITÁRIA DA FARMÁCIA-ESCOLA","04/12/2014","315,43"
"***.00.133/****-26","TIME FORM - SILVESTRE INDUSTRI","1017 - CT. UFC/FCPC - PROJETO DE ORIENTAÇÃO FARMACEUTICA AOS USUARIOS DA FARMÁCIA UNIVERSITÁRIA DA FARMÁCIA-ESCOLA","01/12/2014","315,44"
"***.00.133/****-26","TIME FORM - SILVESTRE INDUSTRI","1017 - CT. UFC/FCPC - PROJETO DE ORIENTAÇÃO FARMACEUTICA AOS USUARIOS DA FARMÁCIA UNIVERSITÁRIA DA FARMÁCIA-ESCOLA","24/10/2014","426,32"
"***.00.133/****-26","TIME FORM - SILVESTRE INDUSTRI","1017 - CT. UFC/FCPC - PROJETO DE ORIENTAÇÃO FARMACEUTICA AOS USUARIOS DA FARMÁCIA UNIVERSITÁRIA DA FARMÁCIA-ESCOLA","07/08/2014","275,55"
"***.00.133/****-26","TIME FORM - SILVESTRE INDUSTRI","1017 - CT. UFC/FCPC - PROJETO DE ORIENTAÇÃO FARMACEUTICA AOS USUARIOS DA FARMÁCIA UNIVERSITÁRIA DA FARMÁCIA-ESCOLA","24/07/2014","275,57"
"***.00.133/****-26","TIME FORM - SILVESTRE INDUSTRI","1017 - CT. UFC/FCPC - PROJETO DE ORIENTAÇÃO FARMACEUTICA AOS USUARIOS DA FARMÁCIA UNIVERSITÁRIA DA FARMÁCIA-ESCOLA","17/07/2014","275,57"
"***.00.133/****-26","TIME FORM - SILVESTRE INDUSTRI","1017 - CT. UFC/FCPC - PROJETO DE ORIENTAÇÃO FARMACEUTICA AOS USUARIOS DA FARMÁCIA UNIVERSITÁRIA DA FARMÁCIA-ESCOLA","07/07/2014","275,57"
"***.00.133/****-26","TIME FORM - SILVESTRE INDUSTRI","1017 - CT. UFC/FCPC - PROJETO DE ORIENTAÇÃO FARMACEUTICA AOS USUARIOS DA FARMÁCIA UNIVERSITÁRIA DA FARMÁCIA-ESCOLA","12/03/2014","332,45"
"***.00.133/****-26","TIME FORM - SILVESTRE INDUSTRI","1017 - CT. UFC/FCPC - PROJETO DE ORIENTAÇÃO FARMACEUTICA AOS USUARIOS DA FARMÁCIA UNIVERSITÁRIA DA FARMÁCIA-ESCOLA","25/02/2014","332,46"
"***.00.133/****-26","TIME FORM - SILVESTRE INDUSTRI","1017 - CT. UFC/FCPC - PROJETO DE ORIENTAÇÃO FARMACEUTICA AOS USUARIOS DA FARMÁCIA UNIVERSITÁRIA DA FARMÁCIA-ESCOLA","14/01/2014","552,55"
"***.00.143/****-46","G.B.DE OLIVEIRA E CIA LTDA","2823 - CV - BNB/FCPC - ONDA LER: BIBLIOTECA E LEITURA CONST","13/01/2014","1.237,56"
"***.00.143/****-46","G.B.DE OLIVEIRA E CIA LTDA","2823 - CV - BNB/FCPC - ONDA LER: BIBLIOTECA E LEITURA CONST","13/01/2014","508,37"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3053 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 13","29/12/2014","881,88"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3095 - TERMO DE COOPERACAO IBRAMED/UFC/FCPC","09/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","08/12/2014","780,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","08/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","08/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","08/12/2014","790,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","08/12/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","08/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","08/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","08/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","08/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","08/12/2014","780,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3052 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 12","08/12/2014","800,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3052 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 12","05/12/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2831 - CV - FINEP/FCPC - RIMEC  IMPLANTAÃ‡ÃƒO E CONS. DA REDE TEMAT.INSUMO FARMACÃŠUTICO","05/12/2014","780,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3052 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 12","05/12/2014","780,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2831 - CV - FINEP/FCPC - RIMEC  IMPLANTAÃ‡ÃƒO E CONS. DA REDE TEMAT.INSUMO FARMACÃŠUTICO","05/12/2014","720,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2978 - CT - UFC/FCPC - LACT - LABORATOIRO DE ANALISES CLINICAS E TOXICOLOGICAS","05/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2564 -  CT. DOCAS/UFC/FCPC - DRAGAGEM DO PORTO DE FORTALEZA","05/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2564 -  CT. DOCAS/UFC/FCPC - DRAGAGEM DO PORTO DE FORTALEZA","05/12/2014","780,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2824 - CV - TERMO ADITIVO PADTEC/UFC/FCPC","05/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3045 - CV - APPLE/IFCE/FCPC - PROJETO BEPiD","05/12/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3045 - CV - APPLE/IFCE/FCPC - PROJETO BEPiD","05/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3045 - CV - APPLE/IFCE/FCPC - PROJETO BEPiD","05/12/2014","780,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3057 - PETROBRAS/FCPC -  SERVIÃ‡OS DE ELABORAÃ‡ÃƒO DE ESTUDO PARA LICENCIAMENTO AMBIENTAL DAS INSTALAÃ‡Ã•ES DE EXTRA MUROS DA REFINARIA PREMIUM II","05/12/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3053 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 13","05/12/2014","780,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3030 - CV LANDIS/UFC/FCPC - SISCOME 10","05/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","04/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","04/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","04/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","04/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","04/12/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","04/12/2014","680,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","25/11/2014","790,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","25/11/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","25/11/2014","790,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","25/11/2014","790,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2831 - CV - FINEP/FCPC - RIMEC  IMPLANTAÃ‡ÃƒO E CONS. DA REDE TEMAT.INSUMO FARMACÃŠUTICO","24/11/2014","700,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3030 - CV LANDIS/UFC/FCPC - SISCOME 10","21/11/2014","700,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2831 - CV - FINEP/FCPC - RIMEC  IMPLANTAÃ‡ÃƒO E CONS. DA REDE TEMAT.INSUMO FARMACÃŠUTICO","21/11/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2831 - CV - FINEP/FCPC - RIMEC  IMPLANTAÃ‡ÃƒO E CONS. DA REDE TEMAT.INSUMO FARMACÃŠUTICO","21/11/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2831 - CV - FINEP/FCPC - RIMEC  IMPLANTAÃ‡ÃƒO E CONS. DA REDE TEMAT.INSUMO FARMACÃŠUTICO","21/11/2014","790,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2831 - CV - FINEP/FCPC - RIMEC  IMPLANTAÃ‡ÃƒO E CONS. DA REDE TEMAT.INSUMO FARMACÃŠUTICO","20/11/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2607 - CT.BNDES/UFC/FCPC - CONSTRUÃ‡ÃƒO DO CPDM","11/11/2014","109,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2607 - CT.BNDES/UFC/FCPC - CONSTRUÃ‡ÃƒO DO CPDM","11/11/2014","980,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2930 - CT - UFC/FCPC - ATENDIMENTO EDUCACIONAL ESPECIALIZADO - AEE","11/11/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2922 - CT.PETROBRAS - PROJETO AMBES","03/11/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2922 - CT.PETROBRAS - PROJETO AMBES","03/11/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2982 - CT - UFC/FCPC - CURSO DE ESPECIALIZAÃ‡ÃƒO, PESQUISA E INOVAÃ‡ÃƒO EM SAÃšDE DA FAMÃLIA","29/10/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3053 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 13","29/10/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3053 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 13","29/10/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3053 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 13","29/10/2014","980,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3053 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 13","29/10/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2831 - CV - FINEP/FCPC - RIMEC  IMPLANTAÃ‡ÃƒO E CONS. DA REDE TEMAT.INSUMO FARMACÃŠUTICO","29/10/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2831 - CV - FINEP/FCPC - RIMEC  IMPLANTAÃ‡ÃƒO E CONS. DA REDE TEMAT.INSUMO FARMACÃŠUTICO","29/10/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3052 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 12","29/10/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2824 - CV - TERMO ADITIVO PADTEC/UFC/FCPC","29/10/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2978 - CT - UFC/FCPC - LACT - LABORATOIRO DE ANALISES CLINICAS E TOXICOLOGICAS","29/10/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2978 - CT - UFC/FCPC - LACT - LABORATOIRO DE ANALISES CLINICAS E TOXICOLOGICAS","29/10/2014","780,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2564 -  CT. DOCAS/UFC/FCPC - DRAGAGEM DO PORTO DE FORTALEZA","29/10/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","24/10/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","24/10/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3082 - CT - PEDRA BRANCA/FCPC - CONCURSO PUBLICO","14/10/2014","903,49"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3082 - CT - PEDRA BRANCA/FCPC - CONCURSO PUBLICO","13/10/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3082 - CT - PEDRA BRANCA/FCPC - CONCURSO PUBLICO","13/10/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3082 - CT - PEDRA BRANCA/FCPC - CONCURSO PUBLICO","13/10/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","13/10/2014","750,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2964 - CT.UNILAB/FCPC - CURSO DE FORMAÃ‡ÃƒO CIDADÃƒ E AGROECOLOGICA","13/10/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","09/10/2014","780,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","09/10/2014","780,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","09/10/2014","780,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2909 - CT - 92/2012 - IFCE/FCPC-CURSO  DE POS-GRAD. EM TUR","09/10/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","09/10/2014","780,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2682 - CT. SEINF/FCPC-QUALIFOR - FASE II","09/10/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2922 - CT.PETROBRAS - PROJETO AMBES","03/10/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2922 - CT.PETROBRAS - PROJETO AMBES","03/10/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2922 - CT.PETROBRAS - PROJETO AMBES","03/10/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2922 - CT.PETROBRAS - PROJETO AMBES","03/10/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","02/10/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2674 - CT - PETROBRAS/FCPC-ANALISES QUIM. EM FLUIDOS E PRO","02/10/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2909 - CT - 92/2012 - IFCE/FCPC-CURSO  DE POS-GRAD. EM TUR","02/10/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3030 - CV LANDIS/UFC/FCPC - SISCOME 10","02/10/2014","780,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3045 - CV - APPLE/IFCE/FCPC - PROJETO BEPiD","02/10/2014","780,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2922 - CT.PETROBRAS - PROJETO AMBES","02/10/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3045 - CV - APPLE/IFCE/FCPC - PROJETO BEPiD","30/09/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","3053 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 13","30/09/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2607 - CT.BNDES/UFC/FCPC - CONSTRUÃ‡ÃƒO DO CPDM","30/09/2014","880,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2607 - CT.BNDES/UFC/FCPC - CONSTRUÃ‡ÃƒO DO CPDM","30/09/2014","780,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","08/09/2014","870,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","08/09/2014","270,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","08/09/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","08/09/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","08/09/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","0101 - FCPC","08/09/2014","890,00"
"***.00.155/****-28","M. L. DANTAS DE OLIVEIRA - ME","2831 - CV - FINEP/FCPC - RIMEC  IMPLANTAÃ‡ÃƒO E CONS. DA REDE TEMAT.INSUMO FARMACÃŠUTICO","08/09/2014","890,00"
